N,종목명,현재가,전일비,등락률,액면가,매출액,영업이익,PER,ROE
1009.0,KODEX 200미국채혼합,12830.0,상승  70,+0.55%,0.0,,,,
1010.0,HL D&I,2005.0,상승  8,+0.40%,5000.0,15720.0,507.0,2.55,6.95
1011.0,KBSTAR 미국단기투자등급회사채액티브,11150.0,상승  50,+0.45%,0.0,,,,
1012.0,엔케이,945.0,하락  1,-0.11%,500.0,915.0,-11.0,1.27,41.19
1013.0,QV 레버리지 S&P500 ETN,37580.0,하락  190,-0.50%,0.0,,,,
1014.0,신한 WTI원유 선물 ETN(H),7505.0,하락  115,-1.51%,0.0,,,,
1015.0,사조씨푸드,4335.0,상승  30,+0.70%,1000.0,1760.0,-348.0,-4.03,
1016.0,남양유업우,371500.0,"하락  7,000",-1.85%,5000.0,,,-5.92,
1017.0,새론오토모티브,3820.0,상승  70,+1.87%,500.0,1403.0,-76.0,14.86,1.45
1018.0,대양금속,1850.0,하락  19,-1.02%,500.0,2010.0,-25.0,-2.74,-36.88
1019.0,KBSTAR 25-11 회사채(AA-이상)액티브,52490.0,보합0,0.00%,0.0,,,,
1020.0,HANARO 종합채권(AA-이상)액티브,106585.0,상승  160,+0.15%,0.0,,,,
1021.0,ACE 미국30년국채엔화노출액티브(H),9105.0,상승  80,+0.89%,0.0,,,,
1022.0,대림B&Co,4360.0,하락  30,-0.68%,1000.0,2663.0,41.0,-46.38,-2.98
1023.0,KODEX Fn Top10동일가중,7545.0,하락  45,-0.59%,0.0,,,,
1024.0,ACE 미국30년국채선물레버리지(합성 H),6115.0,상승  65,+1.07%,0.0,,,,
1025.0,TIGER 글로벌AI&로보틱스 INDXX,12025.0,하락  30,-0.25%,0.0,,,,
1026.0,유한양행우,60900.0,하락  300,-0.49%,1000.0,,,39.16,
1027.0,화승알앤에이,3785.0,상승  45,+1.20%,500.0,6807.0,318.0,2.73,23.6
1028.0,삼화왕관,33300.0,하락  250,-0.75%,5000.0,1579.0,69.0,-11.86,-5.9
1029.0,TIGER 현대차그룹+펀더멘털,27770.0,하락  90,-0.32%,0.0,,,,
1030.0,호전실업,7320.0,상승  150,+2.09%,500.0,4415.0,351.0,5.42,12.11
1031.0,TIGER 일본반도체FACTSET,14920.0,상승  195,+1.32%,0.0,,,,
1032.0,상상인증권,654.0,하락  5,-0.76%,1000.0,1822.0,10.0,163.5,0.21
1033.0,영보화학,3540.0,상승  50,+1.43%,500.0,903.0,70.0,6.19,3.7
1034.0,대호에이엘,1048.0,상승  6,+0.58%,500.0,1816.0,84.0,12.48,4.16
1035.0,쌍방울,269.0,보합0,0.00%,500.0,947.0,4.0,-2.15,-20.71
1036.0,ARIRANG 신흥국MSCI(합성 H),9510.0,하락  75,-0.78%,0.0,,,,
1037.0,하이스틸,3490.0,하락  40,-1.13%,500.0,2567.0,34.0,54.53,0.88
1038.0,명문제약,2075.0,상승  25,+1.22%,500.0,1696.0,10.0,-11.16,-5.23
1039.0,KBSTAR 중국본토대형주CSI100,16315.0,상승  145,+0.90%,0.0,,,,
1040.0,하나 Solactive 2X US Tech Top 10 ETN(H),69975.0,보합0,0.00%,0.0,,,,
1041.0,KBSTAR 대형고배당10TR,20170.0,하락  160,-0.79%,0.0,,,,
1042.0,KODEX 아시아달러채권ESG플러스액티브,55930.0,상승  330,+0.59%,0.0,,,,
1043.0,TIGER 국채3년,106685.0,상승  55,+0.05%,0.0,,,,
1044.0,TIGER 글로벌온디바이스AI,10235.0,하락  115,-1.11%,0.0,,,,
1045.0,써니전자,1879.0,상승  19,+1.02%,500.0,128.0,9.0,19.17,5.01
1046.0,서울식품,183.0,하락  7,-3.68%,100.0,648.0,6.0,-91.5,-2.08
1047.0,대신 인버스 천연가스 선물 ETN(H),8550.0,상승  305,+3.70%,0.0,,,,
1048.0,유성기업,2630.0,상승  5,+0.19%,500.0,3115.0,80.0,8.02,3.3
1049.0,서원,1435.0,하락  3,-0.21%,500.0,2332.0,5.0,2.98,-7.81
1050.0,인터지스,2290.0,상승  30,+1.33%,500.0,6116.0,230.0,7.92,5.26
1051.0,케이비아이동국실업,611.0,상승  11,+1.83%,500.0,6494.0,45.0,4.97,4.12
1052.0,보락,1131.0,하락  4,-0.35%,200.0,468.0,5.0,66.53,1.77
1053.0,ACE 미국S&P500채권혼합액티브,11675.0,상승  45,+0.39%,0.0,,,,
1054.0,신한 인버스 2X 코스닥 150 선물 ETN,6770.0,하락  145,-2.10%,0.0,,,,
1055.0,혜인,5320.0,하락  60,-1.12%,500.0,2761.0,91.0,6.5,6.65
1056.0,SH에너지화학,608.0,하락  2,-0.33%,500.0,1340.0,-41.0,-14.14,-2.81
1057.0,DSR,4215.0,보합0,0.00%,500.0,2911.0,243.0,3.87,8.42
1058.0,까뮤이앤씨,1490.0,상승  37,+2.55%,500.0,2788.0,67.0,-32.39,
1059.0,미래에셋 레버리지 코스닥150 선물 ETN,33515.0,상승  645,+1.96%,0.0,,,,
1060.0,ACE G2전기차&자율주행액티브,8530.0,상승  110,+1.31%,0.0,,,,
1061.0,보해양조,481.0,하락  1,-0.21%,500.0,931.0,-28.0,-26.72,-4.38
1062.0,일진디스플,1297.0,하락  41,-3.06%,500.0,543.0,-80.0,-12.12,-54.83
1063.0,KBSTAR Fn5G테크,12360.0,하락  75,-0.60%,0.0,,,,
1064.0,금비,66600.0,하락  300,-0.45%,5000.0,2510.0,59.0,-15.8,-8.14
1065.0,KB 인버스 천연가스 선물 ETN,14775.0,상승  625,+4.42%,0.0,,,,
1066.0,화천기공,30200.0,상승  100,+0.33%,5000.0,2257.0,46.0,9.0,3.06
1067.0,UNICORN 생성형AI강소기업액티브,9695.0,하락  125,-1.27%,0.0,,,,
1068.0,GS우,37150.0,상승  100,+0.27%,5000.0,,,2.78,
1069.0,KODEX 헬스케어,13755.0,상승  20,+0.15%,0.0,,,,
1070.0,하나 블룸버그 -2X 천연가스 선물 ETN(H),66020.0,"상승  4,950",+8.11%,0.0,,,,
1071.0,KB Wise 분할매매 ETN,10990.0,보합0,0.00%,0.0,,,,
1072.0,TIMEFOLIO 미국나스닥100액티브,20200.0,하락  180,-0.88%,0.0,,,,
1073.0,TIGER 미국나스닥100레버리지(합성),19085.0,하락  75,-0.39%,0.0,,,,
1074.0,메리츠 블룸버그 -2X 천연가스 선물 ETN(H),65765.0,"상승  5,115",+8.43%,0.0,,,,
1075.0,다스코,3390.0,하락  10,-0.29%,500.0,3781.0,225.0,8.01,9.8
1076.0,평화산업,1197.0,상승  6,+0.50%,500.0,5640.0,99.0,12.6,8.57
